name,contingent,hometown,type,sport,age,height,weight,PreviousGame1,PreviousGame2,PreviousGame3,PreviousGame4,PreviousGame5,url,PreviousGameYear1,PreviousGameYear2,PreviousGameYear3,PreviousGameYear4,PreviousGameYear5,,,,,,
Curran Daley,New Brunswick,New Bandon,Athlete,Hockey,"15""","5 pieds""","119 lbs""","Jeux du Québec 2005,2007,2008,2009,2011",Championnat du monde 2013,Jeux du Québec 2011,,,,,,,,,,,,,,
vincent dallaire,Quebec,quebec,Athlete,Wheelchair Basketball,"19""","5' 11""""","161lbs""",Jeux du Québec 2011,Jeux du Québec 2013,,,U18 Optimist International - 2013 (1st place),BC Juvenile Provincial Championships - 2013 (1st Place),BC Mixed Doubles Provincial Championships - 2013 (3rd Place),,,,,,,,,,
William Dallaire,Quebec,Laval,Athlete,Curling,"16""",",",,,,,,,,,,,,,,,,,,
William Dalton,Newfoundland and Labrador,,Athlete,Target Shooting,"16""","5'9""""","125 lbs.""",None,None,,BC High School Provincials - 2013/2014 (1st place),,,,,,,,,,,,,
Austin Daniels,Northwest Territories,"Yellowknife, NT",Athlete,Hockey,"13""","5'11""""","155 lbs.""",Arctic Winter Games 2014,,"BC Junior Provincial Championships - 2014 (1st place), 2013 (3rd place)",,,,,,,,,,,,,,
Brady Daniels,Northwest Territories,"Yellowknife, NT",Athlete,Hockey,"16""","5'7""""","140lbs""",BC Winter Games - 2012,Canadian Junior Championships - 2014 (2nd place),,,OFSAA 2010-2014,ROPSSAA 2010-2014,,,,,,,,,,,
Sarah Daniels,British Columbia,"North Delta, British Columbia",Athlete,Curling,"15""","5'1""","120 lb""",,,AWG 2012 volleyball,,,,,,,,,,,,,,
Mia Danis,Manitoba,Winnipeg,Athlete,Gymnastics,"15""","6ft""","207""",AWG 2010 basketball,,,U.S.A. JOAD 2014,,,,,,,,,,,,,
Saumik Darehshoripour,Nunavut,Rankin inlet,Athlete,Badminton,"22""","5'3""","115""",JEUX DU QUÉBEC 2013,,Ontario Provincials Indoor/Outdoor 2014,2014 Junior National Championships,,,,,,,,,,,,,
GABRIELLE DAVID,Quebec,drummondville,Athlete,Hockey,"15""","5'4""""","135 lbs""",Ontario Summer Games 2012,Canadian Indoor/Outdoor Nationals 2014,2014 Ontario Winter Games,,,,,,,,,,,,,,
Shannon Marie Davidson,Ontario,Mississauga,Athlete,Archery,"18""","5'10""""","160 lbs""",2011 Canada Winter Games,2012 Ontario Winter Games,,,"Newfoundland Provincial Championships, Female and Male 2010-Present",Newfoundland Female AAA Provincials 2012-Present,,,,,,,,,,,
Josh Davies,Ontario,London Ontario,Athlete,Wheelchair Basketball,"21""","4' 11.5""""","115""","2014 FIS competitions, rail jams, freestyle nationals (air nation)","FIS competitions, rail jams",,,,,,,,,,,,,,,
Taylor Davies,Alberta,Red Deer,Athlete,Snowboard,"15""","6'0""","165""",,,,2014 Female Bantam AAA Atlantics,,,,,,,,,,,,,
Brett Davis,Manitoba,Oakbank Manitoba,Athlete,Hockey,"15""","6'2""""","177 lbs.""",,,2014 Newfoundland & Labrador Winter Games,,,,,,,,,,,,,,
Hayden Davis,Ontario,Hamilton,Athlete,Hockey,"15""","5'8""""","157""",2013 Atlantic Challenge Cup,2014 Atlantic Challenge Cup,,,,,,,,,,,,,,,
Jessica Davis,Newfoundland and Labrador,Conception Bay South,Athlete,Hockey,"16""","5ft 1inch""","150""",,,,,,,,,,,,,,,,,
Jodie Davis,Manitoba,Minnedosa,Athlete,Alpine Skiing,"13""","5'3""","127""",,,,,,,,,,,,,,,,,
Ethan Davy,Yukon,Whitehorse,Athlete,Snowboard,"13""","5'7""""","145 lbs""",NL Winter Games 2014,,,,,,,,,,,,,,,,
Adam Dawe,Newfoundland and Labrador,"Gander, NL",Athlete,Hockey,"16""",",",,,,,,,,,,,,,,,,,,
Mackenzie Davy,Yukon,,Athlete,Snowboard,"17""","5' 8.5""""","150""",Member of Hockey Nova Scotia Under 14 and Under 15 male hockey team in 2012 and 2013.,,,,,,,,,,,,,,,,
Bradley Peter Dawe,Nova Scotia,"Bedford, NS",Athlete,Hockey,"15""","5'2""""","93 pounds""",,,,,"2012 Canadian Air Gun Grand Prix in Toronto, ON","2012 Canadian Smallbore and Airgun National Championships in Beachburg, ON","2012 North Atlantic Championships in St. John's, NFLD","2013 Canadian Air Gun Grand Prix in Toronto, ON","2013 ISSF World Cup in Munich, Germany","2013 Canadian Smallbore and Airgun National Championships in Beachburg, ON","2013 North Atlantic Air Gun Championships in Truro, NS","2013 Maine State Sectional in Augusta, Maine","2014 NRA Sectional in Augusta, Maine","2014 Canadian Air Gun Grand Prix in Toronto, ON","2014 Canadian Smallbore and Air gun National Championships in Beachburg, ON","2014 North Atlantic Air Gun Championships in St. Stephen, NB",
Hannah Dawson,Ontario,"Johnstown, Ontario",Athlete,Figure Skating,"13""","5' 10""""","130lbs""",,,,,,,,,,,,,,,,,
Jenna Nicole de Jonge,British Columbia,"Abbotsford, B.C.",Athlete,Hockey,"17""",",",,,,,"2011 North Atlantic Championships in St. Stephen, NB",,,,,,,,,,,,,
Haley de Jong,British Columbia,Port Coquitlam,Athlete,Gymnastics,"14""","170cm""","138lbs""",,,"2014 ISSF Youth World Cup in Suhl, Germany",,,,,,,,,,,,,,
Camille De Serres-Rainville,Quebec,Montréal,Athlete,Speed Skating,"19""","5'10""""","170""",2013 Australian Youth Olympic Festival,"2014 Youth Olympic Qualifier in Fort Benning, GA",,,,,,,,,,,,,,,
Emily Dean,New Brunswick,St. Stephen,Athlete,Target Shooting,"17""","6'3""""","220lbs""",I competed in the 2011 Winter Games in Halifax,,,,,,,,,,,,,,,,
Matt Dean,Saskatchewan,Regina,Athlete,Alpine Skiing,"24""","185 cm""","65 kg""","Canada Games, Rowing, MB (2013)","Western Canada Games: Rowing, MB (2011)",,,,,,,,,,,,,,,
Ben Dearing,Manitoba,Pinawa,Athlete,Cross Country Skiing,"19""","5""6""","130""",,,Jeux du Québec (2009),,,,,,,,,,,,,,
Annie Debaji,Alberta,Edmonton,Athlete,Ringette,"18""","5pi10""","170 lbs""",Ce sont mes premiers jeux de ce type,Jeux de la Francophonie canadienne (2008),,,so level 2 2011 sectionals Dieppe gold blades gold metal,,,,,,,,,,,,
Félix DeBlois-Beaucage,Quebec,Gatineau,Athlete,Badminton,"21""","5'8""","110 lbs""",Ontario Winter Games (2014) Ontario Parasport Games (2014),Ontario Winter Games (2014) Ontario Parasport Games (2014),,,,,,,,,,,,,,,
Matt Debly,Ontario,Windsor,Athlete,Wheelchair Basketball,"20""","5'9""""","160 lbs""",,,Alberta winter games 2010 and 2012,SO level 3 2012 Starskate provincials 2012 gold medal,,,,,,,,,,,,,
Jolene Sheila Dawn Debruyn,Alberta,Grande Prairie,Athlete,Hockey,"17""","5'4""","56 kg""",never before,Arctic winter games 2010,SO level 3 2013 Skate NB spring skate gold medal,Figure Skating,,,,,,,,,,,,,
Kennedi Lee Deck,Alberta,Grande Prairie,Athlete,Snowboard,"17""","61 inches""","140 lbs""",SO level 2 2011 CWG Halifax NS 5TH,SO level 3 2013 Skate NB fall skate gold medal,Athlete,,,,,,,,,,,,,,
Miranda Tracy Dedam,New Brunswick,Miramichi,Athlete,Figure Skating,"18""","5'3""""",,,,,,,,,,,,,,,,,,
"
Matthew den Boer""",British Columbia,Victoria,"18""","6'1""""","200lbs""",,,2010 BC Winter Games,,jeux du quebec 2011 et 2013,,,,,,,,,,,,,,
dez defour,Quebec,st-lazare,Athlete,Squash,"14""","5'1''""","125lbs""",World Cup in Canmore (2014),,,,,,,,,,,,,,,,
Laurie-Ann Demers,Quebec,St-Agapit,Athlete,Gymnastics,"16""",",",Halifax Canada Winter Games (2011),Première expérience,N/A,,,,,,,,,,,,,,,
Gab Denis,Ontario,Matheson,Athlete,Cross Country Skiing,"21""","5 pieds 2""","121""",Saskatchewan Winter Games 2010 (Biathlon),,,,,,,,,,,,,,,,
LAURIE DENOMMÉE,Quebec,LAVAL,Athlete,Gymnastics,"14""","5'4""""","130""",none,none,,,,,,,,,,,,,,,
Jetta Derenoski,Saskatchewan,Vawn,Athlete,Hockey,"17""","6'3""","170""",,,,,,,,,,,,,,,,,
Tristyn DeRoose,Saskatchewan,Ceylon,Athlete,Hockey,"16""","163 cm""","101 lbs""",Legion Track & Field - Summer 2010,Legion Track & Field - Summer 2011,,,,,,,,,,,,,,,
Valérie Déry,New Brunswick,Bouctouche,Athlete,Figure Skating,"12""","5'4""","120 lbs""",,,,,,,,,,,,,,,,,
Sneha Desai,New Brunswick,Fredericton,Athlete,Badminton,"19""","5.2""","115""",,,,,,,,,,,,,,,,,
Kathryne DesAutels,Manitoba,Winnipeg,Athlete,Badminton,"20""","5'3""","138""",,,B.C. Winter Games (2012),,,,,,,,,,,,,,
Cloé Deschênes,Quebec,longueuil,Athlete,Gymnastics,"20""","5p3""","128 lbs""",None,B.C. Winter Games (2010),,,,,,,,,,,,,,,
Catherine Desjardins-L.,Quebec,Montréal,Athlete,Speed Skating,"19""","5ft 2in""","128 lbs""","54 kilos""","air gun grand prix de Toronto 2014, compétition provincial",,,,,,,,,,,,,,,
Alison Desmarais,British Columbia,Vanderhoof,Athlete,Speed Skating,"17""",1,"60 m""",aucun,aucun,,,,,,,,,,,,,,,
Pascal Desmeules,Quebec,Desbiens,Athlete,Target Shooting,"15""","5 pied 3""","118 lbs""",,,,,,,,,,,,,,,,,
Laurianne Desmarais-Gilbert,Quebec,Brossard,Athlete,Freestyle Skiing,"17""","5'8""","150""",2014 National Deaf Hockey Championships,,,,,,,,,,,,,,,,
DEZIRAY DESOUSA,Quebec,Montreal,Athlete,Hockey,"17""","6'""","170""",2011 Western Canada Summer Games for Field Hockey,,,,,,,,,,,,,,,,
Jack DesRoches,Prince Edward Island,Days Corner,Athlete,Hockey,"15""","5'2""""","135""",,,,,,,,,,,,,,,,,
Nicole Desrosiers,Manitoba,Winnipeg,Athlete,Ringette,"19""",",",,,,,,,,,,,,,,,,,,
Hannah Deuling,Yukon,,Athlete,Cross Country Skiing,"16""","190""","155""",Winter Games 2013/2014,,,,2014 Territorialsfor NAIG,2014 Territorials for CWG,,,,,,,,,,,
Marcus Deuling,Yukon,Whitehorse,Athlete,Cross Country Skiing,"18""","6'2""","140 pds.""",Manitoba Winter Games 2014,,,,,,,,,,,,,,,,
James Devoe,Newfoundland and Labrador,,Athlete,Badminton,"18""","5'8""","155""",BC Winter Games 2012,,,2013 Territorials for AWG,,,,,,,,,,,,,
Connor Dewar,Manitoba,"The Pas, MB",Athlete,Hockey,"15""","75""""","180lbs""",,,2012 Territorials,,,,,,,,,,,,,,
Patrick Dew,British Columbia,Vernon,Athlete,Freestyle Skiing,"16""","171cm""","170lb""",2014 ArcticWinter Games,2014 North American Indigenous Games,,,,,,,,,,,,,,,
Dominic Di julio,Prince Edward Island,Lennox Island,Athlete,Judo,"18""","5' 1""""","120""",,,,,,,,,,,,,,,,,
Megan Dialla,Nunavut,Iqaluit,Athlete,Badminton,"13""",",",,n/a,n/a,,,,,,,,,,,,,,,
Corvin Dick,Yukon,Ross River YT,Athlete,Archery,"16""","5'8""""","115lbs""",,,,,,,,,,,,,,,,,
Stefanie Dickinson,British Columbia,North Vancouver,Athlete,Synchronized Swimming,"16""","5'10.5""",",Saskatchewan Winter Games - February 2013""",BC Winter Games - 2012,,,,,,,,,,,,,,,,
Jake Diehl,Saskatchewan,Prince Albert,Athlete,Alpine Skiing,"14""","167cm""","60kg""",None,Alberta Winter Games - 2012,,,,,,,,,,,,,,,
Emily Maria Dickson,British Columbia,Burns Lake,Athlete,Biathlon,"17""","5'6''""","145lbs""",,,,,,,,,,,,,,,,,
Cayle Marie Dillon,Alberta,Edmonton,Athlete,Hockey,"17""","5'3""""","150 lb""",None.,None.,Winter Air gun challenge - USA (2014),,,,,,,,,,,,,,
Emily Dietrich,Saskatchewan,"Regina, Saskatchewan",Athlete,Synchronized Swimming,"15""","5' 1""""","130 lbs""",Provincial Championship (2011-2014),Canadian Air Gun Grand Prix (2013-2014),,,,,,,,,,,,,,,
Mia Dimas,Saskatchewan,"Regina, Saskatchewan",Athlete,Gymnastics,"16""","171 cm`""","59 kg""",,,,,,,,,,,,,,,,,
Daniel Dimitrov,Newfoundland and Labrador,St. John's,Athlete,Target Shooting,"18""","185 cm""","75 kg""",2011 Canada Games,,,,,,,,,,,,,,,,
Martin Dimitrov,Newfoundland and Labrador,St. John's,Athlete,Target Shooting,"15""","5'10""""","155 lb""",,,,,,,,,,,,,,,,,
Liam Dimmer,Nova Scotia,"Dartmouth,NS",Athlete,Target Shooting,"17""","5'4""""","130 lbs.""",,,,,,,,,,,,,,,,,
Andrea Dinan,New Brunswick,Miramichi,Athlete,Hockey,"17""","150 cm""","95 lbs""",,,,,,,,,,,,,,,,,
Caroline Dion,Quebec,Trois-Rivières,Athlete,Target Shooting,"17""","6.3""","190lbs""","5 kG""",,,,,,,,,,,,,,,,
Francois Dionne,New Brunswick,Drummond,Athlete,Badminton,"20""","174 cm""",55,,,,,,,,,,,,,,,,,
Philippe Dion,Quebec,"Trois-Rivières, Qc",Athlete,Target Shooting,"15""",",",,2013 Special Olympics Regionals,,,,,,,,,,,,,,,,
Michael Anthony DiPietro,Ontario,Amestburg Ont Canada,Athlete,Hockey,"15""","5'5''""","130lbs""",None,None,,,,,,,,,,,,,,,
Stephanie Divin,British Columbia,Surrey,Athlete,Figure Skating,"15""","5'9""""","143 lbs""",,,,,,,,,,,,,,,,,
Rikki Doak,New Brunswick,Fredericton,Athlete,Speed Skating,"16""","5'11""""","145""",none,none,,,,,,,,,,,,,,,
Noah Dobson,Prince Edward Island,Summerside,Athlete,Hockey,"15""","5'8""""","180""",none,none,CHAMPIONNAT CANADIEN DE L'EST (2011-12 ET 2013-2014),,,,,,,,,,,,,,
Katrina Dobush,Yukon,"whitehorse,yukon",Athlete,Squash,"15""","5' 1.5""""","115""",N/A,JEUX DU QUÉBEC (2010-2011 ET 2012-2013),,,,,,,,,,,,,,,
Abigail Dolan,New Brunswick,Fredericton,Athlete,Gymnastics,"17""","1.40 METRE""","29 KG""",2011 Canada Games in Halifax,,,,,,,,,,,,,,,,
Félix Dolci,Quebec,LAVAL,Athlete,Gymnastics,"12""","6'2.5""""","195 lbs""",,,,,,,,,,,,,,,,,
Bradon Doll,Alberta,"Camrose, Alberta",Athlete,Wheelchair Basketball,"17""",",110 lbs",2014-Canadian National Championship-National Novice Category,,,,,,,,,,,,,,,,,
Abbey Dolomount,Newfoundland and Labrador,St.John's,Athlete,Gymnastics,"13""","5'8""","110lbs""",BC Winter Games 2012,,,,,,,,,,,,,,,,
Delayne Donahue,New Brunswick,"St. Stephen, New Brunswick",Athlete,Target Shooting,"17""","5""8""""","150 LBS""",,,,,,,,,,,,,,,,,
Gavin Donald,British Columbia,Vernon,Athlete,Alpine Skiing,"15""","5'4""""","109lbs""",,,,,,,,,,,,,,,,,
Melanie Donelle,Ontario,Brooklin,Athlete,Synchronized Swimming,"16""","5'9""""","155lbs""",Première participation à des jeux de ce type,Aucun autre jeux,,,,,,,,,,,,,,,
Lindsey Donovan,New Brunswick,Miramichi,Athlete,Hockey,"16""","6'02''""","190""",,,,,,,,,,,,,,,,,
Alex D'Orio,Quebec,Sherbrooke,Athlete,Hockey,"15""","178cm""","150lb""",2007 and 2011 NB special Olympics Winter Games,,,,,,,,,,,,,,,,
Paul-Antoine Dostie-Guindon,Quebec,gatineau,Athlete,Badminton,"21""","56""","85""",Softball,,,,,,,,,,,,,,,,
Kelley Doucet,New Brunswick,south tetagouche nb,Athlete,Figure Skating,"18""","5 1""","115""",Canadian Cycling Road Nationals 2014,,BC Cup - 2013,,,,,,,,,,,,,,
Megan Doucette,Prince Edward Island,Charlottetown,Athlete,Gymnastics,"16""","5'3""","105""",Esso Cup - 2013,BC Winter Games - 2012,,,,,,,,,,,,,,,
Kara Elizabeth Douville,Alberta,Calgary Ab,Athlete,Cross Country Skiing,"26""","5'6""""","146""",none,none,,,,,,,,,,,,,,,
Whitney Dove,British Columbia,"Port Moody, BC",Athlete,Hockey,"16""","5' 11""""","152 lbs""",Saskatchewan Summer Games 2012,,,,,,,,,,,,,,,,
Dane Dow,Alberta,Lloydminster,Athlete,Hockey,"16""","5' 8""""","152""",Participated in Newfoundland Summer Games in 2013.,,"CRC 2013, 2014",,,,,,,,,,,,,,
Davis Dow,Saskatchewan,Lloydminster,Athlete,Freestyle Skiing,"15""","5'3''""","105 lbs""",Eastern Canadain Chamionship - 2012.,Atlantic Championships annually.,,,,,,,,,,,,,,,
Victoria Dowden,Newfoundland and Labrador,Torbay,Athlete,Synchronized Swimming,"15""","5'4""""","135 lbs""",,,,,,,,,,,,,,,,,
Monica Lori Downe,Prince Edward Island,"Stratford, PE",Athlete,Ringette,"18""","5'6''""","115lbs""",n/a,n/a,,,,,,,,,,,,,,,
Melanie Downer,Newfoundland and Labrador,St. John's,Athlete,Synchronized Swimming,"14""","5'3""""","125lbs""",,,NWT Territorial Championship,,,,,,,,,,,,,,
Alexus Eleni Jocelyn Downey,Nova Scotia,Halifax,Athlete,Gymnastics,"16""","5.4""","105""",2014 North American Indigenous Games,NWT High School Territorials,,,,,,,,,,,,,,,
Jill Downey,New Brunswick,"Rothesay, New Brunswick",Athlete,Synchronized Swimming,"14""","6'5""""","250 Lbs""",basketball in 2011,volleyball in 2013,,,,,,,,,,,,,,,
Ryan MacKenzie Dragon,Northwest Territories,Hay River,Athlete,Badminton,"17""","6'0'""","193""",n/a,,,,,,,,,,,,,,,,
Jason Drost,Nova Scotia,hammond plains,Athlete,Wheelchair Basketball,"18""","5""7""""","135""",2010-2014 Atlantic/Provincial Synchronized Skating Championships,2012-2014 Provincial Cadet Biathlon,,,,,,,,,,,,,,,
Hayley Drover,Alberta,Calgary,Athlete,Snowboard,"16""","5'7""""",",2014 National Cadet Biathlon""",,,,,,,,,,,,,,,,,
Madelyn Drover,Newfoundland and Labrador,Portugal Cove - St. Philip's,Athlete,Squash,"15""",",",,Manitoba Winter Games (2010),,,,,,,,,,,,,,,,
Michael Drover,Newfoundland and Labrador,"St. John's, Newfoundland",Athlete,Gymnastics,"14""","5'11""""","175""","Commonwealth Games 2014, Ontario Winter Games 2008",,,,,,,,,,,,,,,,
Dom Druwe,Manitoba,Winnipeg,Athlete,Biathlon,"18""","5'8""""","158lbs""",,,-Jeux du Québec été 2010 en athlétisme à Gatineau.,,,,,,,,,,,,,,
Andrew D'Souza,Ontario,"Ottawa, Ontario",Athlete,Badminton,"20""","5""2""""","130""",Aucun Jeux du Canada.,"-Jeux du Québec hiver 2009 en patinage de vitesse courte piste à Rosemère, St-Thérèse, Blainville.",,,,,,,,,,,,,,,
Elise Dube,British Columbia,Burns Lake,Athlete,Snowboard,"17""","5'4''""","123 lbs""",Canadian AirGun Grand Prix en 2014,,,,,,,,,,,,,,,,
Anna-Belle Dubreuil,Quebec,St-Étienne de Lauzon,Athlete,Speed Skating,"18""","1m55""","65kg""",Jeux du Québec hiver 2011 Beauharnois/Salaberry-de-Valleyfield,Jeux du Québec hiver 2013 Saguenay,,,,,,,,,,,,,,,
Arianne Dubreuil,Quebec,Candiac,Athlete,Target Shooting,"15""","5pieds4""","120 lbs""",Jeux du Québec 2012 -Athlétisme,,,,,,,,,,,,,,,,
Laurie Duchesne,Quebec,Rimouski,Athlete,Synchronized Swimming,"17""","5pieds 5""","135lbs""",,,"Can-Am Collingwood 2014, Can-Am Sugarloaf 2012, Can-Am Tremblant 2014",,,,,,,,,,,,,,
Geanne Dufour,Quebec,Sherbrooke,Athlete,Speed Skating,"19""",,"62 kg""",,"Whistler Cup 2014, Jeux du Québec 2013, Championnats provinciaux 2012, Championnats provinciaux 2014",,,,,,,,,,,,,,,
Julia Dugandzic,Nova Scotia,Halifax,Athlete,Squash,"16""",,"1.70 m""",,,,,,,,,,,,,,,,,
Catherine Dufresne,Quebec,Montreal,Athlete,Alpine Skiing,"15""","174cm""","125livres""",Jeux du Quebec - 2011,Coupe Dodge - 2014 - 2013 - 2012 - 2011 - 2010,,manitoba provincials 2009-2014,,,,,,,,,,,,,
Thierry Dugas,New Brunswick,Caraquet,Athlete,Cross Country Skiing,"14""","5 5""","135""",jeux du québec 2011 et 2013,,"westerns 2009,2010,2011,2014",,,,,,,,,,,,,,
LÉA DUMAIS,Quebec,La Pocatiere,Athlete,Hockey,"17""","1m58""","116 lbs""",Canada Games 2011,"Nationals 2010,2011",,,,,,,,,,,,,,,
Émilie Dumont,Quebec,,Athlete,Gymnastics,"16""","6'""","175""",,,Cadet National Biathlon Championship 2014,,,,,,,,,,,,,,
Nicholas Dumontier,Manitoba,Red Lake ON,Athlete,Biathlon,"20""","5ft10""","140lbs""",Cadet National Biathlon Championship 2012,Cadet National Biathlon Championship 2013,,,,,,,,,,,,,,,
Danielle Joy Dumouchel,New Brunswick,Saint John,Athlete,Speed Skating,"16""","162.5cm""","120lbs""",,,,,,,,,,,,,,,,,
Sarah Duncan,Manitoba,Winnipeg,Athlete,Biathlon,"19""","6'2""""","175""",,,,,,,,,,,,,,,,,
Jack Dunlop,Manitoba,Winnipeg,Athlete,Alpine Skiing,"15""","5'11""""","155 lbs""",,,,,,,,,,,,,,,,,
Brett Duplin,Ontario,Sault Ste Marie,Athlete,Archery,"17""","5'9""""","150 lbs.""",Coupe Québec moins de 16 ans (2015),,,,,,,,,,,,,,,,
Alexandre Dupuis,Ontario,Ottawa,Athlete,Biathlon,"19""","5'10''""","164""",,,,,,,,,,,,,,,,,
Arnaud Durandeau,Quebec,Beaconsfield,Athlete,Hockey,"16""","187cm""","75kg""",,,,,,,,,,,,,,,,,
Kevin Durkee,Northwest Territories,Yellowknife,Athlete,Cross Country Skiing,"21""",",",,,,,,,,,,,,,,,,,,
Kai Anderson Carr Dwyer,Nova Scotia,fall river,Athlete,Gymnastics,"13""","5' 1""""","135""",,,,,,,,,,,,,,,,,
Kaylie Dawn Dyson,Nova Scotia,Dartmouth,Athlete,Ringette,"19""","164 cm""",",Saskatchewan Winter Games (2010)""",2014 Arctic Winter Games,2014 Arctic Winter Games,,,,,,,,,,,,,,,
Lauren Dyck,Saskatchewan,Saskatoon,Athlete,Cross Country Skiing,"20""","4' 11""""","90""",Western Canada Summer Games (2011),,,,,,,,,,,,,,,,
Dakota Earle,Northwest Territories,Yellowknife,Athlete,Hockey,"15""","5'6""""","147 lbs""",,,,,NL Winter Games - 2010,,,,,,,,,,,,
Brad Earl,Alberta,Calgary,Athlete,Gymnastics,"18""","5'11""","177""",2013 Women's U18 National Championships on Team Ontario Blue,2015 Women's U18 World Championships,,"Saskatchewan Winter Games, 2014",,,,,,,,,,,,,
Cole Easton,New Brunswick,Rusagonis,Athlete,Hockey,"15""","6'0""""","176 lbs.""",/,/,"Saskatchewan Summer Games, 2012",NL Summer Games - 2012,,,,,,,,,,,,,
Lindsay Karen Christine Eastwood,Ontario,Kanata,Athlete,Hockey,"18""","167.5 cm""","160 lb""",none,"Saskatchewan Winter Games, 2010",NL Winter Games - 2014,,,,,,,,,,,,,,
Claudya Eatmon,Quebec,Sainte-Marie de Beauce,Athlete,Target Shooting,"19""","5'9""""","150 lbs.""",Newfoundland Winter Games - 2,Newfoundland Summer Games - 1,,,,,,,,,,,,,,,
Raine Eberl,Saskatchewan,Moose Jaw,Athlete,Figure Skating,"15""","5' 6""""","140 lbs""",,,,,"Arctic Winter Games 2010-Grand Prairie, Alberta",,,,,,,,,,,,
Emily Edison,Newfoundland and Labrador,Springdale,Athlete,Hockey,"18""","62""""","106lbs""",,,,,,,,,,,,,,,,,
India Edwards,Northwest Territories,"Yellowknife, NT",Athlete,Squash,"11""",",",,,,,"Arctic Winter Games 2012- Whithorse, Yukon",,,,,,,,,,,,,
Tallisa Edwards,Saskatchewan,,Athlete,Judo,"17""",",",,Newfoundland & Labrador Winter Games 2014,,"Canada West Short Track Championship 2013-Canmore, Alberta",,,,,,,,,,,,,,
Christopher Eetuk-Kadlak,Nunavut,,Athlete,Table Tennis,"16""","5'6""""","115 pounds""",",Arctic Winter Games 2014-Fairbanks"," Alaska USA""",,,,,,,,,,,,,,,
Jenna Efford,Newfoundland and Labrador,"Bareneed, Newfoundland",Athlete,Figure Skating,"13""","5.6""",,,,,,,,,,,,,,,,,,
Lauren Eggenberger,Northwest Territories,Yellowknife,Athlete,Speed Skating,"16""","68''""","66kg""",,,,,,,,,,,,,,,,,
Damien Ekosky,Manitoba,Selkirk,Athlete,Judo,"15""",",",,,,,,,,,,,,,,,,,,
Tia El Masry,Nova Scotia,Halifax,Athlete,Synchronized Swimming,"14""","6'1 1/2""""","185 lbs.""",,,,,,,,,,,,,,,,,
Mohab El Nahas,Ontario,Toronto,Athlete,Judo,"18""","6'3""""","198 lbs""",BC Provincial Championships,,,,,,,,,,,,,,,,
Shady El Nahas,Ontario,Toronto,Athlete,Judo,"16""","5'5""","123lbs""",,,2014,,,,,,,,,,,,,,
Johnny Elias,Yukon,"Old Crow, Yukon",Athlete,Hockey,"14""","5'11""","173""",Ontario Summer Games,Sporting Rifle,,,,,,,,,,,,,,,
Dawson Ellery,British Columbia,Prince George,Athlete,Snowboard,"15""","6'3""""","160 lb.""",,,,,,,,,,,,,,,,,
Jeremy Ellis,Ontario,"St. Thomas, Ontario",Athlete,Target Shooting,"17""","5'9""","140lbs""",,,,,,,,,,,,,,,,,
Oryssya Ellis,Prince Edward Island,Sherwood,Athlete,Hockey,"16""","5'9""","168""",0,0,,,,,,,,,,,,,,,
Jalyn Elmes,Manitoba,,Athlete,Hockey,"16""","1m54""","51 kg""",,,,,,,,,,,,,,,,,
William Emard,Quebec,Laval,Athlete,Gymnastics,"14""","5'11""""","135lbs""",,,,,,,,,,,,,,,,,
Cooper David Emin,Nova Scotia,Cole Harbour,Athlete,Speed Skating,"17""","1.82 m""","100 kg""",2014 Arctic Winter Games,,,,,,,,,,,,,,,,
Maxime Emond,New Brunswick,Edmundston,Athlete,Judo,"17""","6'1""""","159 lbs""","Ontario Winter games (2012,2014)",,,,,,,,,,,,,,,,
Daniel Enge,Northwest Territories,"Yellowknife, NT",Athlete,Hockey,"14""","6'""","161 lbs.""",UANA 13-15 National tearm competitor 2-13,,,,,,,,,,,,,,,,
Nils Engholm,Ontario,Toronto,Athlete,Speed Skating,"18""","5'9""""","150 lbs.""",,,,,,,,,,,,,,,,,
Aerin Breanne England,Ontario,Burlington,Athlete,Synchronized Swimming,"17""","5'5""""","123 lbs""",2012 Southern Alberta Games,None.,Western Canada Summer Games 2011 (Gymnastics),,,,,,,,,,,,,,
Sara England,Saskatchewan,Regina,Athlete,Curling,"17""","5'7""""","140.5lbs""","130 lbs""",Western Canada Summer Games 2011 (Gymnastics),,,,,,,,,,,,,,,
Michael Erickson,Alberta,"Lethbridge, AB",Athlete,Target Shooting,"16""",5 foot," 5 inches""","Nationals 2014, Canada Cup 2014, Western Canada Cup 2013, Saskatchewan Provincials 2014",Saskatchewan Winter Games,,,,,,,,,,,,,,,
Paul Eros,Manitoba,"Winnipeg, Manitoba",Athlete,Gymnastics,"18""","5 10""","155""",World Championships 2012,,,,,,,,,,,,,,,,
Brent Ertman,Saskatchewan,Prince Albert,Athlete,Gymnastics,"16""","5""7""","121lb""",Saskatchewan Winter Games 2014,,,,,,,,,,,,,,,,
Leah Erwin,Ontario,Courtice,Athlete,Ringette,"19""","157 cm""","55 kg""",,,,,,,,,,,,,,,,,
Kimiko Espiritu,Saskatchewan,"Butuan City, Philippines",Athlete,Badminton,"19""","5ft 5in""","110lbs""",,,,,,,,,,,,,,,,,
Hannah Estabrook,Nova Scotia,Halifax,Athlete,Cross Country Skiing,"16""","6'1""""","155""",,,,,,,,,,,,,,,,,
